File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\WPF\pBuild3.0.1\pBuild3.0.0\Aa.cs,25,23,15,0,2,2,0,2,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\App.xaml.cs,26,21,13,1,2,0,3,7,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\ColorDialog.xaml.cs,72,36,16,0,12,0,24,107,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\ColorPicker.xaml.cs,257,155,97,9,28,2,74,453,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\Config_Help.cs,248,179,116,43,25,15,44,168,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\CustomCommands.cs,21,19,15,0,2,0,0,0,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\DataGrid_Compare.cs,386,379,204,148,6,0,1,2,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\DisplayPSM.xaml.cs,99,89,59,4,7,0,3,7,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\Display_Detail_Help.cs,89,71,61,0,12,5,6,13,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\Display_Detail_Help_MS1.cs,31,27,21,0,4,0,0,0,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\Display_Help.cs,1487,1381,1060,152,56,8,50,170,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\Display_ms2_table.xaml.cs,191,186,121,20,2,0,3,7,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\EMFCopy.cs,103,85,50,11,13,2,5,29,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\Evidence.cs,87,76,50,0,11,8,0,15,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\File_Help.cs,1131,1094,722,154,20,19,17,62,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\Getlist.cs,135,115,91,11,8,7,12,27,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\MainWindow.xaml.cs,4292,3886,2724,414,207,112,199,674,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\Mod_Site.cs,52,49,33,0,3,0,0,0,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\MS1_Setting.xaml.cs,113,103,72,13,6,0,4,8,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\Ms2_advance.xaml.cs,460,444,277,77,7,3,9,39,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\Ms2_setting.xaml.cs,173,159,114,7,8,0,6,14,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\NativeMethods.cs,36,30,13,0,5,0,1,3,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\Peptide.cs,163,157,99,17,6,3,0,4,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\Protein.cs,87,78,54,9,7,1,2,4,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\Protein_Adanvaced_Dialog.xaml.cs,52,46,32,1,3,0,3,7,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\Protein_Help.cs,237,212,133,35,7,2,18,41,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\Protein_Panel.cs,21,18,12,0,3,0,0,0,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\PSM.cs,62,49,42,0,4,5,9,23,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\PSM_Help.cs,521,503,338,77,8,31,10,43,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\Spectra.cs,85,81,53,0,4,0,0,0,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\Spectra_MS1.cs,76,74,50,0,2,3,0,3,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\Spectra_MS1_Isotope .cs,31,28,20,0,3,4,0,4,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\StartPage.xaml.cs,103,88,60,6,11,0,4,8,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\Summary_Param_Information.cs,30,24,20,0,4,12,2,14,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\Summary_Result_Information.cs,96,77,57,0,12,1,7,12,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\Task.cs,234,214,146,36,11,21,9,75,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\WpfWin32Window.cs,84,67,35,12,10,0,7,41,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\_Param.cs,21,18,12,0,3,0,0,0,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\_Result.cs,21,18,12,0,3,0,0,0,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\App.g.cs,70,41,28,0,11,0,18,28,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\App.g.i.cs,70,41,28,0,11,0,18,28,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\ColorDialog.g.cs,131,90,46,3,26,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\ColorDialog.g.i.cs,131,90,46,3,26,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\ColorPicker.g.cs,387,271,107,2,101,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\ColorPicker.g.i.cs,387,271,107,2,101,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\DisplayPSM.g.cs,172,119,56,2,38,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\DisplayPSM.g.i.cs,172,119,56,2,38,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\Display_ms2_table.g.cs,89,59,35,2,15,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\Display_ms2_table.g.i.cs,89,59,35,2,15,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\FirstPage.g.i.cs,179,125,59,2,39,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\GeneratedInternalTypeHelper.g.cs,63,27,13,3,10,1,26,44,0,1
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\GeneratedInternalTypeHelper.g.i.cs,63,27,13,3,10,1,26,44,0,1
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\MainWindow.g.cs,1652,1181,420,2,456,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\MainWindow.g.i.cs,1652,1181,420,2,456,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\MS1_Setting.g.cs,164,113,54,2,36,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\MS1_Setting.g.i.cs,164,113,54,2,36,0,15,20,0,0
