非数字	22.114
-0.020	非数字
-0.020	非数字
1.157	1000000.000
1.157	1000000.000
1.917	39.944
1.917	39.944
3.770	56.069
3.770	56.069
2.684	17.614
2.684	17.614
非数字	3.229
非数字	3.229
1.371	非数字
1.371	非数字
0.220	1000000.000
0.220	1000000.000
1.287	非数字
1.287	非数字
5.636	非数字
5.636	非数字
-2.611	1000000.000
-2.611	1000000.000
0.268	1000000.000
0.268	1000000.000
4.114	1000000.000
4.114	1000000.000
2.455	39.203
2.455	39.203
2.670	1000000.000
2.670	1000000.000
2.293	1000000.000
2.293	1000000.000
-8.496	非数字
-8.496	非数字
2.881	非数字
2.881	非数字
-1.927	非数字
-1.927	非数字
1.812	1000000.000
1.812	1000000.000
2.489	非数字
2.489	非数字
4.814	21.476
4.814	21.476
-1.207	-56.032
-1.207	-56.032
1.811	-26.815
1.811	-26.815
非数字	0.010
非数字	0.010
0.535	非数字
0.535	非数字
2.030	1000000.000
2.030	1000000.000
非数字	1.351
非数字	1.351
0.134	非数字
0.134	非数字
-1.202	-15.919
-1.202	-15.919
非数字	2.692
非数字	2.692
1.294	非数字
1.294	非数字
2.489	非数字
2.489	非数字
2.441	1000000.000
2.441	1000000.000
0.474	1000000.000
0.474	1000000.000
14.831	1000000.000
14.831	1000000.000
-1.262	1000000.000
-1.262	1000000.000
1.337	非数字
1.337	非数字
2.203	1000000.000
2.203	1000000.000
-2.763	1000000.000
-2.763	1000000.000
非数字	1000000.000
非数字	1000000.000
2.462	非数字
2.462	非数字
1.820	-80.459
1.820	-80.459
0.984	51.595
0.984	51.595
2.751	1000000.000
2.751	1000000.000
0.707	非数字
0.707	非数字
-1.756	非数字
-1.756	非数字
1.414	-58.479
1.414	-58.479
1.551	非数字
1.551	非数字
2.583	19.276
2.583	19.276
非数字	1000000.000
非数字	1000000.000
-0.039	-12.711
-0.039	-12.711
非数字	1.730
非数字	1.730
0.342	1000000.000
0.342	1000000.000
0.706	1000000.000
0.706	1000000.000
3.470	-64.046
3.470	-64.046
-1.894	-23.102
-1.894	-23.102
0.245	非数字
0.245	非数字
1.232	非数字
1.232	非数字
1.279	1000000.000
1.279	1000000.000
9.225	1000000.000
9.225	1000000.000
5.981	1000000.000
5.981	1000000.000
2.172	非数字
2.172	非数字
1.211	-50.037
1.211	-50.037
0.735	-18.581
0.735	-18.581
1.885	1000000.000
1.885	1000000.000
3.388	1000000.000
3.388	1000000.000
3.308	1000000.000
3.308	1000000.000
1.590	67.267
1.590	67.267
1.307	非数字
1.307	非数字
-0.307	21.907
-0.307	21.907
0.842	-94.565
0.842	-94.565
3.384	非数字
3.384	非数字
2.616	39.910
2.616	39.910
-0.452	1000000.000
-0.452	1000000.000
2.016	非数字
2.016	非数字
1.615	非数字
1.615	非数字
1.867	1000000.000
1.867	1000000.000
0.732	1000000.000
0.732	1000000.000
1.248	非数字
1.248	非数字
0.534	非数字
0.534	非数字
-1.306	1000000.000
-1.306	1000000.000
1.478	1000000.000
1.478	1000000.000
2.371	非数字
2.371	非数字
1.150	11.576
1.150	11.576
2.293	非数字
2.293	非数字
1.830	非数字
1.830	非数字
-0.542	非数字
-0.542	非数字
1.249	41.098
1.249	41.098
0.405	121.268
0.405	121.268
6.300	38.782
6.300	38.782
1.624	-36.101
1.624	-36.101
-0.041	-24.792
-0.041	-24.792
-1.056	非数字
-1.056	非数字
-0.883	非数字
-0.883	非数字
1.690	1000000.000
1.690	1000000.000
0.918	1000000.000
0.918	1000000.000
0.901	非数字
0.901	非数字
1.812	非数字
1.812	非数字
2.175	非数字
2.175	非数字
3.185	非数字
3.185	非数字
-4.088	非数字
-4.088	非数字
1.152	15.779
1.152	15.779
-6.155	1000000.000
-6.155	1000000.000
5.334	-31.150
5.334	-31.150
2.853	1000000.000
2.853	1000000.000
非数字	0.418
非数字	0.418
-1.208	非数字
-1.208	非数字
-1.359	71.593
-1.359	71.593
3.398	27.606
3.398	27.606
5.769	-31.371
5.769	-31.371
-4.392	-21.101
-4.392	-21.101
0.219	1000000.000
0.219	1000000.000
4.408	1000000.000
4.408	1000000.000
-0.329	1000000.000
-0.329	1000000.000
2.296	非数字
2.296	非数字
3.547	非数字
3.547	非数字
3.296	1000000.000
3.296	1000000.000
1.626	1000000.000
1.626	1000000.000
4.349	1000000.000
4.349	1000000.000
1.558	1000000.000
1.558	1000000.000
2.540	非数字
2.540	非数字
5.695	-11.633
5.695	-11.633
非数字	3.554
非数字	3.554
-0.057	-106.884
-0.057	-106.884
0.625	非数字
0.625	非数字
2.027	非数字
2.027	非数字
非数字	2.721
非数字	2.721
0.418	非数字
0.418	非数字
1.845	1000000.000
1.845	1000000.000
0.378	1000000.000
0.378	1000000.000
-4.498	52.331
-4.498	52.331
非数字	5.195
非数字	5.195
2.618	1000000.000
2.618	1000000.000
1.484	非数字
1.484	非数字
-0.149	1000000.000
-0.149	1000000.000
2.133	非数字
2.133	非数字
非数字	1.621
非数字	1.621
1.532	1000000.000
1.532	1000000.000
2.765	非数字
2.765	非数字
-2.537	非数字
-2.537	非数字
2.964	1000000.000
2.964	1000000.000
-1.623	非数字
-1.623	非数字
0.148	非数字
0.148	非数字
2.746	非数字
2.746	非数字
1.343	1000000.000
1.343	1000000.000
1.662	-22.507
1.662	-22.507
3.697	非数字
3.697	非数字
1.166	17.851
1.166	17.851
2.539	非数字
2.539	非数字
1.618	1000000.000
1.618	1000000.000
1.500	-131.182
1.500	-131.182
1.023	39.802
1.023	39.802
5.272	3.265
5.272	3.265
3.139	非数字
3.139	非数字
8.254	95.461
8.254	95.461
5.378	非数字
5.378	非数字
2.589	非数字
2.589	非数字
2.189	37.674
2.189	37.674
-0.734	1000000.000
-0.734	1000000.000
2.730	非数字
2.730	非数字
2.282	非数字
2.282	非数字
-13.481	非数字
-13.481	非数字
2.355	24.533
2.355	24.533
2.057	1000000.000
2.057	1000000.000
-12.392	非数字
-12.392	非数字
1.869	-44.213
1.869	-44.213
-1.052	1000000.000
-1.052	1000000.000
0.202	1000000.000
0.202	1000000.000
8.157	非数字
8.157	非数字
2.938	-16.244
2.938	-16.244
3.616	67.865
3.616	67.865
-10.262	非数字
-10.262	非数字
1.619	61.074
1.619	61.074
3.640	-40.251
3.640	-40.251
非数字	-1.975
非数字	-1.975
0.388	1000000.000
0.388	1000000.000
3.152	非数字
3.152	非数字
-11.224	非数字
-11.224	非数字
0.335	35.143
0.335	35.143
2.530	77.831
2.530	77.831
非数字	1.027
