Word,Count
/,460
<summary>,153
</summary>,153
------------------------------------------------------------------------------,134
<auto-generated>,67
</auto-generated>,67
对此文件的更改可能会导致不正确的行为，并且如果,66
此代码由工具生成。,66
运行时版本:4.0.30319.18444,65
重新生成代码，这些更改将会丢失。,65
InitializeComponent,63
的交互逻辑,14
return,10
true,10
\null,\,10
both,10
are,10
If,10
the,7
is,6
not,6
false,6
if,6
but,6
\both,\,5
match:,5
same,5
Element_Add_Dialog,5
Return,5
Quantification_Add_Dialog,5
\instance,\,5
Enzymes_Add_Dialog,5
or,5
Database_Add_Dialog,5
Modification_Add_Dialog,5
fields,5
one,5
MainWindow,4
App,4
Quantification_Edit_Dialog,4
Element_Edit_Dialog,4
Point,4
Modification_Element_Edit_Dialog,4
Enzymes_Edit_Dialog,4
Database_Edit_Dialog,4
Modification_Edit_Dialog,4
Entry,4
Amino_Acid_Edit_Dialog,4
Application,4
regex,2
默认以;进行分隔,2
[assembly:,2
Element_Add_Dialog.xaml,2
matches,2
Enzymes_Add_Dialog.xaml,2
COM,2
disallowed,2
that,2
text,2
未找到某个资源的情况下使用),2
设置为,2
ComVisible,2
code,2
ResGen,2
incorrect,1
Version:4.0.30319.17929,1
StronglyTypedResourceBuilder,1
(在页面或应用程序资源词典中,1
在总元素表中的索引位置,1
CurrentUICulture,1
true。,1
behavior,1
生成号,1
be,1
tool,1
使此程序集中的类型,1
文件，然后重新运行,1
4.0.30319.17929,1
加载界面的时候即把元素表加载进来，因为修饰，氨基酸表都依靠它,1
GetPropertyValue,1
与程序集关联的信息。,1
酶配置界面,1
程序集的版本信息由下面四个值组成:,1
Quantification_Add_Dialog.xaml,1
数据库配置界面,1
<UICulture>,1
SetPropertyValue,1
则将该类型上的,1
将,1
Database_Add_Dialog.xaml,1
\AssemblyVersion("\1.0.*"\)]\,1
\sw.WriteLine("\[modify]"\);\,1
VS,1
常规资源词典所处位置,1
save,1
GeneratedInternalTypeHelper,1
返回此类使用的、缓存的,1
Amino_Acid_Edit_Dialog.xaml,1
特性的注释。更新,1
/str,1
修饰发生在哪些氨基酸上,1
ResourceManager,1
Changes,1
使用的是美国英语，请将,1
修饰的名字,1
若要开始生成可本地化的应用程序，请在,1
主题特定资源词典所处位置,1
\显示所有的质量及比例，格式为mass1,ratio1;mass2,ratio2;\,1
\data,\,1
<PropertyGroup>,1
设置,1
UltimateResourceFallbackLocation.Satellite)],1
次版本,1
修饰配置界面,1
DatabaseView,1
.csproj,1
文件中,1
App.xaml,1
特性设置为,1
以下行中的“en-US”以匹配项目文件中的,1
主版本,1
对,1
此类是由,1
注意！！！更新MainWindow中的elements的时候，同时也要更新Element中的index_hash,1
特性集控制。更改这些特性值可修改,1
修订号,1
regenerated,1
——NORMAL,1
will,1
and,1
组件不可见。如果需要从,1
Runtime,1
Database_Edit_Dialog.xaml,1
Modification_Edit_Dialog.xaml,1
方法是按如下所示使用“*”:,1
为所有资源查找重写当前线程的,1
元素配置界面,1
MainWindow.xaml,1
generated,1
可以指定所有这些值，也可以使用“生成号”和“修订号”的默认值，,1
(以,1
是否是常见修饰,1
CreateDelegate,1
NeutralResourceLanguage,1
类通过类似于,1
Datagrid中显示的Position,1
项目。,1
(在页面、应用程序或任何主题特定资源词典中,1
may,1
一个强类型的资源类，用于查找本地化的字符串等。,1
对以下,1
Modification_Element_Edit_Dialog.xaml,1
定量配置界面,1
Visual,1
by,1
still,1
修饰的质量,1
作为命令选项)，或重新生成,1
to,1
Modification_Add_Dialog.xaml,1
该修饰是由于哪元素组成,1
中的,1
读取下一行,1
有没有中性丢失,1
lost,1
修饰发生在肽段或者蛋白的位置，N端——C端,1
属性，,1
window,1
AddEventHandler,1
Edit_Amino_Acid_Dialog,1
@NUMBER_LABEL=X,1
的工具自动生成的。,1
Quantification_Edit_Dialog.xaml,1
file,1
重新生成代码，这些更改将丢失。,1
a,1
.ResX,1
运行时版本:,1
cause,1
<UICulture>CultureYouAreCodingWith</UICulture>。例如，如果您在源文件中,1
访问此程序集中的类型，,1
close,1
比例最大的质量,1
氨基酸配置界面,1
实例。,1
this,1
en-US。然后取消,1
was,1
若要添加或移除成员，请编辑,1
This,1
\NeutralResourcesLanguage("\en-US"\,\,1
方法是使用此强类型资源类。,1
Studio,1
设置。,1
CreateInstance,1
根据元素的组成生成字符串，并同时计算质量,1
UICulture,1
或,1
有关程序集的常规信息通过以下,1
