File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\Amino_Acid.cs,23,20,14,0,3,0,0,0,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\Amino_Acid_Edit_Dialog.xaml.cs,56,49,39,0,4,0,3,7,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\App.xaml.cs,18,13,9,0,2,0,3,7,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\Config_Helper.cs,35,32,22,6,3,2,0,10,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\Database.cs,62,52,30,13,7,0,3,26,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\Database_Add_Dialog.xaml.cs,73,65,44,3,5,0,3,7,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\Database_Edit_Dialog.xaml.cs,71,63,46,2,5,0,3,7,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\Element.cs,114,100,65,16,11,3,3,29,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\Element_Add_Dialog.xaml.cs,125,118,94,7,4,0,3,7,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\Element_Edit_Dialog.xaml.cs,123,116,94,6,4,0,3,7,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\Enzyme.cs,66,56,34,13,7,0,3,26,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\Enzymes_Add_Dialog.xaml.cs,93,87,58,14,3,0,3,7,0,0
